iter	Passed	Remaining
0	179	179767
1	181	90726
2	183	60864
3	184	45930
4	185	36967
5	186	30956
6	188	26680
7	190	23575
8	191	21098
9	192	19096
10	194	17452
11	195	16069
12	196	14888
13	197	13883
14	198	13007
15	199	12242
16	200	11566
17	200	10965
18	201	10427
19	203	9950
20	204	9542
21	205	9136
22	206	8770
23	207	8443
24	210	8191
25	211	7910
26	214	7719
27	215	7473
28	216	7242
29	217	7021
30	218	6832
31	219	6647
32	220	6470
33	221	6300
34	222	6138
35	223	5990
36	224	5850
37	225	5715
38	226	5586
39	227	5460
40	228	5342
41	229	5230
42	230	5124
43	231	5023
44	233	4948
45	234	4856
46	235	4765
47	235	4679
48	236	4596
49	237	4516
50	238	4440
51	239	4366
52	240	4295
53	241	4228
54	242	4161
55	243	4097
56	243	4035
57	244	3976
58	246	3936
59	247	3882
60	248	3827
61	249	3774
62	250	3723
63	251	3673
64	252	3625
65	252	3578
66	253	3534
67	254	3489
68	255	3446
69	256	3404
70	257	3366
71	258	3327
72	259	3289
73	259	3251
74	261	3223
75	262	3188
76	262	3152
77	263	3117
78	264	3084
79	265	3051
80	266	3020
81	267	2990
82	267	2956
83	268	2926
84	269	2897
85	269	2868
86	270	2842
87	271	2814
88	272	2788
89	273	2761
90	273	2736
91	274	2712
92	275	2688
93	276	2664
94	277	2640
95	277	2616
96	278	2594
97	279	2571
98	280	2549
99	280	2528
100	281	2508
101	282	2488
102	283	2470
103	284	2451
104	285	2432
105	286	2413
106	286	2394
107	287	2376
108	288	2358
109	289	2340
110	290	2323
111	290	2306
112	291	2290
113	292	2274
114	293	2258
115	294	2241
116	294	2224
117	295	2208
118	296	2193
119	297	2178
120	298	2164
121	298	2149
122	299	2134
123	300	2120
124	300	2106
125	301	2092
126	302	2078
127	303	2065
128	304	2053
129	305	2041
130	305	2028
131	306	2016
132	307	2003
133	308	1991
134	308	1979
135	309	1967
136	310	1955
137	311	1944
138	312	1932
139	312	1921
140	313	1910
141	314	1897
142	314	1887
143	315	1876
144	316	1866
145	317	1855
146	318	1845
147	318	1835
148	319	1826
149	320	1817
150	321	1807
151	322	1797
152	323	1788
153	323	1778
154	324	1769
155	325	1761
156	326	1752
157	327	1743
158	327	1734
159	328	1726
160	329	1716
161	330	1709
162	331	1700
163	332	1694
164	333	1686
165	334	1679
166	335	1671
167	335	1663
168	336	1655
169	337	1648
170	338	1640
171	339	1633
172	340	1626
173	340	1618
174	341	1611
175	342	1604
176	343	1596
177	344	1589
178	344	1582
179	345	1574
180	346	1567
181	347	1560
182	347	1553
183	348	1547
184	349	1540
185	350	1534
186	351	1527
187	352	1521
188	352	1514
189	353	1508
190	354	1502
191	355	1495
192	356	1489
193	356	1483
194	357	1476
195	358	1470
196	359	1464
197	360	1458
198	360	1452
199	361	1446
200	362	1440
201	363	1434
202	364	1429
203	365	1424
204	365	1419
205	366	1413
206	367	1408
207	368	1403
208	369	1398
209	370	1393
210	371	1387
211	371	1382
212	372	1377
213	373	1372
214	374	1367
215	375	1362
216	376	1357
217	376	1351
218	377	1346
219	378	1342
220	379	1337
221	380	1332
222	381	1328
223	382	1324
224	383	1319
225	384	1315
226	384	1310
227	385	1305
228	386	1301
229	387	1296
230	387	1291
231	388	1287
232	389	1282
233	390	1277
234	391	1273
235	391	1268
236	392	1264
237	393	1259
238	394	1255
239	395	1251
240	395	1246
241	396	1242
242	397	1238
243	398	1233
244	399	1229
245	399	1225
246	400	1221
247	401	1217
248	402	1213
249	402	1208
250	403	1204
251	404	1200
252	405	1196
253	405	1192
254	406	1188
255	407	1184
256	408	1180
257	409	1177
